unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1736330400,08.01.2025 10:00,BTC/USD,95419,95949,95419,95924,69.03458081,6622073.13
1736326800,08.01.2025 09:00,BTC/USD,95913,96070,95398,95413,74.06002645,7066289.304
1736323200,08.01.2025 08:00,BTC/USD,95610,96095,95490,95937,114.6901481,11003028.74
1736319600,08.01.2025 07:00,BTC/USD,95270,95765,95239,95630,90.20069747,8625892.699
1736316000,08.01.2025 06:00,BTC/USD,96554,96603,95253,95258,66.97018659,6379446.034
1736312400,08.01.2025 05:00,BTC/USD,96320,96620,96091,96477,17.49616411,1687977.425
1736308800,08.01.2025 04:00,BTC/USD,96519,96603,96088,96259,19.40452786,1867860.447
1736305200,08.01.2025 03:00,BTC/USD,96859,96859,96216,96506,43.90182611,4236789.631
1736301600,08.01.2025 02:00,BTC/USD,96880,97143,96750,96933,16.72151962,1620867.061
1736298000,08.01.2025 01:00,BTC/USD,97246,97246,96609,96901,31.79785969,3081244.402
1736294400,08.01.2025 00:00,BTC/USD,96922,97248,96712,97247,48.24148042,4691339.246
1736290800,07.01.2025 23:00,BTC/USD,97122,97129,96818,96946,17.60940902,1707161.767
1736287200,07.01.2025 22:00,BTC/USD,96450,97200,96404,97117,30.89224876,3000162.523
1736283600,07.01.2025 21:00,BTC/USD,96443,97049,96363,96512,67.18199778,6483868.97
1736280000,07.01.2025 20:00,BTC/USD,96410,96800,96130,96501,103.7753316,10014423.27
1736276400,07.01.2025 19:00,BTC/USD,96711,97146,96296,96394,37.8592203,3649401.682
1736272800,07.01.2025 18:00,BTC/USD,97238,97490,96574,96707,35.04197152,3388803.94
1736269200,07.01.2025 17:00,BTC/USD,97741,97781,96573,97245,111.6055083,10853077.65
1736265600,07.01.2025 16:00,BTC/USD,97914,98302,97547,97715,107.0636515,10461724.71
1736262000,07.01.2025 15:00,BTC/USD,100026,100105,97124,97915,442.0408531,43282430.13
1736258400,07.01.2025 14:00,BTC/USD,100650,100848,99765,100013,185.670117,18569425.41
1736254800,07.01.2025 13:00,BTC/USD,100747,100945,100624,100651,43.61822324,4390217.787
1736251200,07.01.2025 12:00,BTC/USD,100860,100933,100633,100756,36.07379067,3634650.853
1736247600,07.01.2025 11:00,BTC/USD,101415,101461,100498,100855,69.58288142,7017781.506
1736244000,07.01.2025 10:00,BTC/USD,101705,101705,101382,101415,18.26600078,1852446.469
1736240400,07.01.2025 09:00,BTC/USD,101917,101917,101643,101730,21.70279601,2207825.438
1736236800,07.01.2025 08:00,BTC/USD,101759,101989,101651,101906,18.94364425,1930471.011
1736233200,07.01.2025 07:00,BTC/USD,101842,102017,101662,101664,37.15656988,3777485.52
1736229600,07.01.2025 06:00,BTC/USD,101729,101905,101653,101824,5.17231062,526665.3566
1736226000,07.01.2025 05:00,BTC/USD,101678,101798,101629,101749,4.28927015,436428.9485
1736222400,07.01.2025 04:00,BTC/USD,101723,101961,101698,101698,8.47534535,861925.6714
1736218800,07.01.2025 03:00,BTC/USD,101719,101848,101557,101742,10.56437563,1074840.705
1736215200,07.01.2025 02:00,BTC/USD,101997,102059,101699,101711,7.17970028,730254.4952
1736211600,07.01.2025 01:00,BTC/USD,102068,102121,101738,101968,44.98625321,4587158.267
1736208000,07.01.2025 00:00,BTC/USD,102278,102760,101997,102095,25.84849691,2639002.292
1736204400,06.01.2025 23:00,BTC/USD,102041,102280,101932,102280,10.95639186,1120619.759
1736200800,06.01.2025 22:00,BTC/USD,101657,102118,101641,102038,23.81605803,2430142.929
1736197200,06.01.2025 21:00,BTC/USD,102185,102407,101633,101653,48.24338849,4904085.17
1736193600,06.01.2025 20:00,BTC/USD,101892,102360,101892,102137,190.0032789,19406364.89
1736190000,06.01.2025 19:00,BTC/USD,101805,102089,101665,101853,129.9185538,13232594.46
1736186400,06.01.2025 18:00,BTC/USD,101870,102087,101626,101776,77.26483378,7863705.723
1736182800,06.01.2025 17:00,BTC/USD,102170,102170,101306,101870,91.28822945,9299531.934
1736179200,06.01.2025 16:00,BTC/USD,102183,102514,101737,102172,158.1733094,16160883.37
1736175600,06.01.2025 15:00,BTC/USD,100776,102496,100487,102138,233.9471966,23894898.77
1736172000,06.01.2025 14:00,BTC/USD,99466,101263,98705,100741,246.5082382,24833486.43
1736168400,06.01.2025 13:00,BTC/USD,99130,99541,98884,99464,67.14181117,6678193.106
1736164800,06.01.2025 12:00,BTC/USD,99234,99669,99122,99134,67.02051693,6644011.925
1736161200,06.01.2025 11:00,BTC/USD,98739,99359,98683,99221,35.81157031,3553259.818
1736157600,06.01.2025 10:00,BTC/USD,98961,99018,98683,98728,17.73185462,1750630.543
1736154000,06.01.2025 09:00,BTC/USD,99015,99221,98932,98961,19.61093918,1940718.152
1736150400,06.01.2025 08:00,BTC/USD,99277,99586,98985,99015,31.33948627,3103079.233
1736146800,06.01.2025 07:00,BTC/USD,99488,99502,99168,99279,20.8131029,2066304.043
1736143200,06.01.2025 06:00,BTC/USD,99621,99717,99413,99486,11.60413215,1154448.691
1736139600,06.01.2025 05:00,BTC/USD,99427,99857,99359,99575,24.94491454,2483889.865
1736136000,06.01.2025 04:00,BTC/USD,99031,99445,99031,99427,18.86538259,1875728.395
1736132400,06.01.2025 03:00,BTC/USD,98793,99180,98751,99019,24.0793359,2384311.761
1736128800,06.01.2025 02:00,BTC/USD,98710,99252,98650,98793,98.1904404,9700528.178
1736125200,06.01.2025 01:00,BTC/USD,98256,98778,97919,98720,49.88422078,4924570.275
1736121600,06.01.2025 00:00,BTC/USD,98389,98717,98197,98201,45.45570567,4463795.752
1736118000,05.01.2025 23:00,BTC/USD,98669,98799,98327,98327,29.01545383,2853002.529
